TIMESTAMP, EVENT, PSI_SOME_AVG10, PSI_SOME_AVG60, PSI_FULL_AVG10, PSI_FULL_AVG60, MEM_AVAIL_KB, COND_MEM_PRESSURE, COND_PSI_PRESSURE
2026-03-13T06:40:09.985Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15324804, False, False
2026-03-13T06:40:12.153Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15309936, False, False
2026-03-13T06:40:14.321Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15326808, False, False
2026-03-13T06:40:16.491Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15323736, False, False
2026-03-13T06:40:18.656Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15326892, False, False
2026-03-13T06:40:20.825Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15331516, False, False
2026-03-13T06:40:22.994Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15329580, False, False
2026-03-13T06:40:25.168Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15332216, False, False
2026-03-13T06:40:27.345Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15327784, False, False
2026-03-13T06:40:29.518Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15329716, False, False
2026-03-13T06:40:31.685Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15329372, False, False
2026-03-13T06:40:33.855Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15329688, False, False
2026-03-13T06:40:36.018Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15327824, False, False
2026-03-13T06:40:38.184Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15318264, False, False
2026-03-13T06:40:40.349Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15327620, False, False
2026-03-13T06:40:42.517Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 13138896, False, False
2026-03-13T06:40:44.737Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15021976, False, False
2026-03-13T06:40:46.901Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15111340, False, False
2026-03-13T06:40:49.069Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15171580, False, False
2026-03-13T06:40:51.235Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15203236, False, False
2026-03-13T06:40:53.403Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15206176, False, False
2026-03-13T06:40:55.584Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15294288, False, False
2026-03-13T06:40:57.757Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15322680, False, False
2026-03-13T06:40:59.922Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15319472, False, False
2026-03-13T06:41:02.091Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15327076, False, False
2026-03-13T06:41:04.258Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15332500, False, False
2026-03-13T06:41:06.427Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15331200, False, False
2026-03-13T06:41:08.596Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15322976, False, False
2026-03-13T06:41:10.762Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15312196, False, False
2026-03-13T06:41:12.933Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15328656, False, False
2026-03-13T06:41:15.101Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15331032, False, False
2026-03-13T06:41:17.268Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15327052, False, False
2026-03-13T06:41:19.439Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15322472, False, False
2026-03-13T06:41:21.610Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15319908, False, False
